,ozone,temp,clouds_hi,clouds_mid,dni,timestamp_utc,clouds_low,wind_cdir,rh,pod,pres,ghi,clouds,vis,timestamp_local,wind_spd,pop,wind_cdir_full,slp,datetime,ts,snow_depth,app_temp,dewpt,uv,snow,wind_dir,solar_rad,dhi,precip,wind_gust_spd,weather
0,249.9,19.2,100,100,813.99,2022-12-31T18:00:00,53,S,88,d,1008.0,505.18,100,14.4,2022-12-31T13:00:00,3.56,0,south,1015.5,2022-12-31:18,1672509600,0,19.4,17.1,1.0,0,189,123.43168,98.03,0.0,6.57,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}"
1,256.5,19.3,100,100,525.54,2022-12-31T21:00:00,100,S,88,d,1005.0,151.96,100,14.4,2022-12-31T16:00:00,3.38,20,south,1013.0,2022-12-31:21,1672520400,0,19.6,17.3,0.5,0,176,65.48949,58.43,0.0049972534,8.71,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}"
2,260.0,17.7,60,10,0.0,2023-01-01T00:00:00,100,SSW,94,n,1005.0,0.0,100,12.2,2022-12-31T19:00:00,2.95,0,south-southwest,1013.5,2023-01-01:00,1672531200,0,17.7,16.8,0.0,0,198,0.0,0.0,0.0,8.23,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}"
3,270.3,17.0,100,0,0.0,2023-01-01T03:00:00,100,WSW,94,n,1005.0,0.0,100,12.2,2022-12-31T22:00:00,2.74,20,west-southwest,1014.0,2023-01-01:03,1672542000,0,17.0,16.0,0.0,0,244,0.0,0.0,0.0019989014,6.86,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}"
4,274.5,14.5,0,0,0.0,2023-01-01T06:00:00,13,W,93,n,1005.5,0.0,13,12.2,2023-01-01T01:00:00,2.52,0,west,1014.5,2023-01-01:06,1672552800,0,14.5,13.4,0.0,0,280,0.0,0.0,0.0,6.0,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}"
5,269.5,11.6,0,0,0.0,2023-01-01T09:00:00,6,W,93,n,1006.5,0.0,6,12.2,2023-01-01T04:00:00,1.93,0,west,1015.0,2023-01-01:09,1672563600,0,11.6,10.5,0.0,0,269,0.0,0.0,0.0,4.93,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}"
6,268.5,9.7,0,0,0.0,2023-01-01T12:00:00,8,WSW,93,n,1009.0,0.0,8,12.2,2023-01-01T07:00:00,1.86,0,west-southwest,1016.5,2023-01-01:12,1672574400,0,9.7,8.6,0.0,0,248,0.0,0.0,0.0,3.22,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}"
7,272.0,13.7,32,64,737.41,2023-01-01T15:00:00,6,WSW,88,d,1010.0,368.1,64,15.2,2023-01-01T10:00:00,1.63,0,west-southwest,1019.0,2023-01-01:15,1672585200,0,13.7,11.8,1.3,0,245,283.0853,85.93,0.0,1.85,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}"
8,277.3,17.8,49,99,814.19,2023-01-01T18:00:00,0,WNW,68,d,1009.0,505.6,99,25.792,2023-01-01T13:00:00,3.32,0,west-northwest,1018.0,2023-01-01:18,1672596000,0,17.8,11.8,1.0,0,290,146.0236,98.06,0.0,5.48,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}"
9,275.3,17.7,0,100,526.35,2023-01-01T21:00:00,0,W,64,d,1009.5,152.5,100,26.992,2023-01-01T16:00:00,2.6,0,west,1017.0,2023-01-01:21,1672606800,0,17.7,10.8,0.5,0,278,68.34504,58.52,0.0,4.91,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}"
10,271.8,12.6,0,0,0.0,2023-01-02T00:00:00,3,WSW,86,n,1012.0,0.0,3,14.8,2023-01-01T19:00:00,2.43,0,west-southwest,1019.5,2023-01-02:00,1672617600,0,12.6,10.3,0.0,0,256,0.0,0.0,0.0,3.12,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}"
11,268.0,10.3,0,0,0.0,2023-01-02T03:00:00,19,W,90,n,1013.0,0.0,19,12.296,2023-01-01T22:00:00,2.12,0,west,1020.5,2023-01-02:03,1672628400,0,10.3,8.8,0.0,0,264,0.0,0.0,0.0,2.69,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}"
12,264.8,8.9,0,0,0.0,2023-01-02T06:00:00,63,W,93,n,1013.0,0.0,63,12.2,2023-01-02T01:00:00,2.16,0,west,1020.5,2023-01-02:06,1672639200,0,8.9,7.8,0.0,0,265,0.0,0.0,0.0,3.05,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}"
13,262.0,7.1,0,0,0.0,2023-01-02T09:00:00,100,W,100,n,1013.5,0.0,100,0.1,2023-01-02T04:00:00,0.53,0,west,1021.0,2023-01-02:09,1672650000,0,8.1,7.1,0.0,0,267,0.0,0.0,0.0,3.08,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}"
14,261.0,6.0,0,0,0.0,2023-01-02T12:00:00,100,WSW,100,n,1014.0,0.0,100,0.1,2023-01-02T07:00:00,0.45,0,west-southwest,1022.0,2023-01-02:12,1672660800,0,7.2,6.0,0.0,0,253,0.0,0.0,0.0,1.52,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04n'}"
15,266.8,8.1,0,2,737.67,2023-01-02T15:00:00,100,SW,98,d,1016.0,368.48,100,0.0,2023-01-02T10:00:00,1.8,0,southwest,1023.5,2023-01-02:15,1672671600,0,8.1,7.8,0.7,0,232,122.808,85.96,0.0,2.6,"{'description': 'Overcast clouds', 'code': 804, 'icon': 'c04d'}"
